tip_name,new_name,completeness,contamination,gc_content,genome_size,n_contigs,data_source,host_species,host_family,host_source
Hepatincola_Av,Hepatincola sp. (Armadillidium vulgare),98.9010989,0,0.295275737,1340442,1,Castelli_et_al_2025_CheckM,Armadillidium vulgare,Armadillidiidae,Dittmer_et_al_2023
Hepatincola_Pdp,Hepatincola sp. (Porcellio dilatatus petiti),90.10989011,1.098901099,0.294254723,1229614,16,Castelli_et_al_2025_CheckM,Porcellio dilatatus petiti,Porcellionidae,Dittmer_et_al_2023
Hepatincola_Pp,Hepatincola sp. (Porcellionides pruinosus),97.8021978,1.098901099,0.306452718,1284110,1,Castelli_et_al_2025_CheckM,Porcellionides pruinosus,Porcellionidae,Dittmer_et_al_2023
Marine_MAG_001510075,GCA_001510075.1 Alphaproteobacteria,75.87064677,0,0.581675256,1772183,84,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_001830425,GCA_001830425.1 Rhodospirillales,97.59158752,0.248756219,0.582468632,2729753,130,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_002327565,GCA_002327565.1 Rhodospirillales,91.27855347,5.223880597,0.505839853,4397465,311,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_002687515,GCA_002687515.1 Rhodospirillales,85.24046434,4.127091814,0.601882795,4285735,181,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_009694195,GCA_009694195.1 Rhodospirillales,62.18905473,0,0.656709345,2504924,49,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_013204045,GCA_013204045.1 Rhodospirillales,92.74084125,0.621890547,0.570277874,2683839,177,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_014859895,GCA_014859895.1 Rhodospirillales,97.10820896,3.316749585,0.652375264,5096654,197,Castelli_et_al_2025_CheckM,NA,NA,NA
Marine_MAG_018662225,GCA_018662225.1 Rhodospirillales,98.00995025,0.414593698,0.534552697,3499148,103,Castelli_et_al_2025_CheckM,NA,NA,NA
Outgroup_009649675,GCA_009649675.1 Alphaproteobacteria,100,0.497512438,0.575988834,4423878,23,Castelli_et_al_2025_CheckM,NA,NA,NA
Symbiont_of_E_torrentis,GCA_964020105.1 Rickettsiales (Ecdyonurus torrentis),98.9,0,0.312,1383406,1,this_study_CheckM,Ecdyonurus torrentis,Heptageniidae,GTDB_organism_name
Symbiont_of_Haliotis,GCA_002632265.1 Rhodospirillaceae (Haliotis discus hannai),89.35323383,2.36318408,0.355500896,2046227,19,Castelli_et_al_2025_CheckM,Haliotis discus hannai,Haliotidae,NCBI_BioSample+Castelli_et_al_2025
Symbiont_of_L_labralis,GCA_009780035.1 Alphaproteobacteria (Labiotermes labralis),98.92473118,0,0.335620518,1422127,17,Castelli_et_al_2025_CheckM,Labiotermes labralis,Termitidae,NCBI_BioSample
Symbiont_of_P_viduata,GCA_964020055.1 Alphaproteobacteria (Pipizella viduata),97.8,0,0.268,1105045,1,this_study_CheckM,Pipizella viduata,Syrphidae,GTDB_organism_name
Tardigradibacter_bertolanii,Tardigradibacter bertolanii (Richtersius cf. coronifer),98.92473118,0,0.302530052,1332542,15,Castelli_et_al_2025_CheckM,Richtersius cf. coronifer,Richtersiidae,Castelli_et_al_2025
Terasakiella_pusilla_DSM_6293,GCA_000688235.1 Terasakiella pusilla,100,0.75,0.5,4053560,85,this_study_CheckM,NA,NA,NA
Thalassospira_profundimaris,GCA_000300275.1 Thalassospira profundimaris,100,0,0.552,4380232,28,this_study_CheckM,NA,NA,NA
WRAU01_MAG_031256515,GCA_031256515.1 Alphaproteobacteria (Cornitermes pugnax),98.12,0,0.294,1487858,104,this_study_CheckM,Cornitermes pugnax,Termitidae,NCBI_BioSample
WRAU01_MAG_031274895,GCA_031274895.1 Alphaproteobacteria (Jugositermes tuberculatus),97.31,0,0.36,1499021,137,this_study_CheckM,Jugositermes tuberculatus,Termitidae,NCBI_BioSample
WRAU01_MAG_945888065,GCA_945888065.1 Rickettsia typhi,86.81,0,0.254,867558,26,this_study_CheckM,NA,NA,NA
WRAU01_MAG_947460385,GCA_947460385.1 Alphaproteobacteria ,88.71,1.61,0.296,1093185,66,this_study_CheckM,NA,NA,NA
s7_ctg000008c,novel A. bicarinatus symbiont,97.85,0,0.29,1231242,1,this_study_CheckM,Anchylorhynchus bicarinatus,Curculionidae,this_study
Symbiont_of_S_maritima,JBEXBW000000000 Hepatincolaceae (Strigamia maritima),86.81318681,1.098901099,0.297544136,1247667,227,Castelli_et_al_2025_CheckM,Strigamia maritima,Linotaeniidae,Castelli_et_al_2025
